Email_ID,Sender_Email,Subject,Email_Length,Num_Links,Num_Special_Chars,Capital_Words,Has_Attachment,Spam
39,3207,6,82.0,1.0,1.0,8,0,0
40,3318,0,86.0,2.0,4.0,1,1,0
41,3430,7,82.0,1.0,3.0,4,0,0
42,3540,7,82.0,2.0,5.0,6,0,0
43,3651,4,179.0,1.0,7.0,40,1,1
44,3761,0,54.0,0.0,2.0,0,0,0
45,3872,6,185.0,6.0,16.0,15,1,1
46,3983,1,180.0,3.0,13.0,35,0,1
47,4093,3,61.0,3.0,3.0,2,1,0
48,4204,7,183.0,6.0,13.0,31,1,1
49,4314,0,64.0,2.0,0.0,0,0,0
50,4425,0,115.0,2.0,5.0,8,0,0
51,4537,1,145.0,5.0,18.0,11,1,1
52,4646,3,193.0,5.0,17.0,38,0,1
53,4757,4,106.0,1.0,5.0,2,0,0
54,4867,2,136.0,4.0,16.0,42,0,1
55,4978,0,25.0,1.0,3.0,2,0,0
56,5089,1,230.0,5.0,15.0,11,0,1
57,5199,4,129.0,0.0,2.0,0,0,0
58,5310,2,180.0,4.0,16.0,23,1,1
59,5421,6,101.0,1.0,3.0,6,0,0
60,5531,5,91.0,0.0,2.0,0,0,0
61,5643,3,113.0,1.0,5.0,3,0,0
62,5753,1,47.0,0.0,3.0,5,0,0
63,5864,2,99.0,0.0,7.0,4,0,0
64,5975,4,83.0,1.0,1.0,9,0,0
65,6085,3,99.0,0.0,4.0,1,0,0
66,6196,2,180.0,6.0,22.0,43,0,1
67,6306,1,196.0,7.0,12.0,3,0,1
68,6417,7,75.0,1.0,6.0,6,0,0
69,6528,1,86.0,1.0,4.0,6,0,0
70,6638,4,141.0,6.0,18.0,12,0,1
71,6650,6,173.0,6.0,15.0,4,1,1
72,6661,4,155.0,4.0,21.0,17,1,1
73,6672,5,124.0,2.0,6.0,4,1,0
74,6683,1,194.0,6.0,13.0,52,1,1
75,6694,6,106.0,2.0,2.0,2,0,0
76,6705,2,73.0,0.0,0.0,0,0,0
77,6716,3,54.0,1.0,1.0,7,0,0
78,6726,6,92.0,0.0,3.0,0,0,0
79,6737,2,62.0,1.0,4.0,0,0,0
80,6748,6,82.0,1.0,8.0,6,0,0
81,6760,3,82.0,0.0,2.0,7,0,0
82,6771,2,176.0,6.0,8.0,18,0,1
83,6782,4,214.0,5.0,19.0,29,0,1
84,6793,6,203.0,6.0,11.0,16,0,1
85,6804,1,46.0,0.0,4.0,5,1,0
86,6815,1,98.0,1.0,4.0,4,0,0
87,6826,6,57.0,1.0,5.0,5,0,0
88,6837,2,101.0,1.0,2.0,0,0,0
89,6848,5,76.0,1.0,3.0,3,0,0
90,6859,0,93.0,1.0,2.0,0,0,0
91,6871,3,156.0,1.0,13.0,48,0,1
92,6882,3,237.0,9.0,15.0,25,0,1
93,6893,5,82.0,2.0,1.0,6,0,0
94,6904,6,166.0,7.0,16.0,59,0,1
95,6915,6,116.0,9.0,14.0,58,1,1
96,6926,7,112.0,1.0,6.0,4,0,0
97,6937,7,33.0,2.0,2.0,0,0,0
98,6948,1,72.0,2.0,7.0,7,1,0
99,6959,2,87.0,0.0,1.0,0,1,0
100,6970,2,241.0,6.0,15.0,16,0,1
101,10,3,162.0,5.0,19.0,4,1,1
102,21,6,62.0,0.0,0.0,4,0,0
103,31,0,102.0,2.0,5.0,8,0,0
104,42,1,80.0,1.0,5.0,9,0,0
105,53,0,62.0,2.0,0.0,0,0,0
106,64,7,92.0,1.0,2.0,6,0,0
107,75,3,210.0,4.0,13.0,21,1,1
108,86,4,43.0,0.0,3.0,3,0,0
109,97,4,64.0,1.0,2.0,1,0,0
110,108,1,175.0,5.0,17.0,16,1,1
111,120,6,90.0,3.0,4.0,0,0,0
112,131,6,86.0,3.0,6.0,4,1,0
113,142,3,175.0,0.0,16.0,19,0,1
114,153,3,46.0,1.0,3.0,0,0,0
115,164,1,68.0,1.0,3.0,5,0,0
116,175,3,20.0,0.0,1.0,5,0,0
117,186,7,174.0,3.0,4.0,21,0,1
118,197,2,180.0,3.0,10.0,8,1,1
119,208,0,125.0,3.0,3.0,9,0,0
120,219,6,88.0,0.0,3.0,8,1,0
121,231,2,93.0,1.0,6.0,2,0,0
122,242,5,65.0,0.0,4.0,4,0,0
123,253,6,85.0,1.0,4.0,2,0,0
124,264,6,106.0,1.0,4.0,9,0,0
125,275,0,188.0,6.0,10.0,56,0,1
126,286,4,172.0,1.0,16.0,22,0,1
127,297,5,27.0,1.0,3.0,3,0,0
128,308,3,86.0,0.0,6.0,3,0,0
129,318,2,98.0,0.0,3.0,0,0,0
130,329,6,81.0,1.0,1.0,8,0,0
131,341,7,204.0,3.0,13.0,41,1,1
132,352,2,20.0,0.0,2.0,5,0,0
133,363,5,78.0,0.0,4.0,8,0,0
134,374,7,84.0,0.0,3.0,1,1,0
135,385,4,78.0,3.0,5.0,8,0,0
136,396,4,188.0,6.0,14.0,32,0,1
137,407,7,121.0,1.0,4.0,9,0,0
138,418,2,105.0,1.0,5.0,4,0,0
139,429,7,98.0,0.0,3.0,1,0,0
140,440,4,87.0,1.0,3.0,1,0,0
141,452,5,182.0,4.0,19.0,55,1,1
142,463,4,112.0,2.0,6.0,9,0,0
143,474,4,84.0,1.0,6.0,6,0,0
144,485,2,86.0,2.0,1.0,2,0,0
145,496,4,66.0,1.0,3.0,5,0,0
146,507,3,145.0,1.0,19.0,37,0,1
147,518,7,52.0,0.0,1.0,1,0,0
148,529,7,62.0,1.0,3.0,5,0,0
149,540,0,197.0,5.0,17.0,15,0,1
150,551,2,128.0,1.0,4.0,2,0,0
151,563,7,181.0,5.0,17.0,32,0,1
152,574,5,99.0,1.0,3.0,9,0,0
153,585,0,79.0,2.0,3.0,7,0,0
154,596,3,200.0,4.0,10.0,13,1,1
155,606,5,74.0,3.0,3.0,8,0,0
156,617,5,84.0,1.0,1.0,3,0,0
157,628,6,49.0,2.0,1.0,9,0,0
158,639,5,94.0,2.0,2.0,2,0,0
159,650,7,118.0,0.0,2.0,3,0,0
160,661,7,113.0,0.0,3.0,5,1,0
161,673,0,165.0,1.0,18.0,38,1,1
162,684,7,20.0,2.0,1.0,0,0,0
163,695,0,109.0,0.0,2.0,1,0,0
164,706,4,76.0,1.0,7.0,9,1,0
165,717,2,94.0,1.0,3.0,2,0,0
166,728,3,192.0,2.0,18.0,50,0,1
167,739,6,46.0,0.0,3.0,4,0,0
168,750,1,155.0,2.0,15.0,7,1,1
169,761,4,48.0,0.0,4.0,1,0,0
170,772,6,67.0,1.0,4.0,9,0,0
171,784,6,165.0,5.0,17.0,31,0,1
172,795,5,147.0,7.0,7.0,21,1,1
173,806,2,189.0,8.0,16.0,38,0,1
174,817,5,95.0,6.0,17.0,20,1,1
175,828,5,67.0,2.0,1.0,0,0,0
176,839,2,152.0,7.0,17.0,53,0,1
177,850,7,122.0,0.0,3.0,6,1,0
178,861,3,61.0,1.0,2.0,7,0,0
179,872,0,199.0,2.0,13.0,37,0,1
180,882,5,166.0,4.0,13.0,27,1,1
181,894,2,184.0,6.0,16.0,56,0,1
182,905,6,194.0,7.0,20.0,4,1,1
183,916,3,75.0,1.0,2.0,0,0,0
184,927,3,114.0,0.0,1.0,8,0,0
185,938,5,77.0,0.0,3.0,5,0,0
186,949,2,174.0,3.0,16.0,20,0,1
187,960,5,98.0,0.0,4.0,7,0,0
188,971,4,172.0,7.0,13.0,49,1,1
189,982,0,86.0,2.0,5.0,1,0,0
190,993,0,65.0,3.0,3.0,7,0,0
191,1005,7,26.0,2.0,1.0,7,1,0
192,1016,0,179.0,5.0,7.0,7,0,1
193,1027,7,67.0,1.0,1.0,7,0,0
194,1038,0,110.0,0.0,3.0,7,0,0
195,1049,4,49.0,1.0,3.0,6,0,0
196,1060,6,185.0,4.0,20.0,45,0,1
197,1071,5,153.0,7.0,11.0,34,0,1
198,1082,1,178.0,7.0,15.0,27,0,1
199,1093,6,65.0,2.0,6.0,0,0,0
200,1104,7,121.0,0.0,1.0,6,0,0
201,1117,4,74.0,1.0,1.0,8,0,0
202,1128,2,65.0,4.0,4.0,7,0,0
203,1139,4,56.0,1.0,1.0,7,0,0
204,1150,6,172.0,6.0,13.0,59,1,1
205,1161,3,70.0,0.0,1.0,0,0,0
206,1171,6,72.0,1.0,2.0,3,1,0
207,1182,2,150.0,8.0,17.0,36,0,1
208,1193,0,48.0,0.0,7.0,8,0,0
209,1204,0,115.0,2.0,3.0,7,0,0
210,1215,0,173.0,3.0,13.0,25,1,1
211,1227,7,20.0,1.0,4.0,0,0,0
212,1238,2,41.0,0.0,1.0,4,0,0
213,1249,6,67.0,0.0,6.0,2,0,0
214,1260,1,177.0,6.0,12.0,27,1,1
215,1271,6,67.0,0.0,1.0,1,0,0
216,1282,1,83.0,2.0,4.0,8,1,0
217,1293,1,52.0,1.0,5.0,1,0,0
218,1304,1,215.0,6.0,21.0,30,0,1
219,1315,1,175.0,6.0,14.0,43,1,1
220,1326,1,63.0,0.0,5.0,7,0,0
221,1338,4,76.0,1.0,0.0,0,0,0
222,1349,4,190.0,5.0,27.0,23,0,1
223,1360,6,169.0,2.0,14.0,36,1,1
224,1371,1,77.0,1.0,3.0,3,0,0
225,1382,4,245.0,6.0,15.0,20,1,1
226,1393,4,34.0,0.0,2.0,1,0,0
227,1404,5,107.0,1.0,1.0,0,0,0
228,1415,7,228.0,5.0,18.0,4,1,1
229,1426,6,76.0,3.0,2.0,7,0,0
230,1437,7,50.0,1.0,5.0,6,1,0
231,1449,2,109.0,1.0,5.0,5,0,0
232,1459,0,174.0,5.0,17.0,6,0,1
233,1470,1,110.0,0.0,0.0,7,0,0
234,1481,3,44.0,3.0,1.0,3,0,0
235,1492,0,60.0,2.0,3.0,6,1,0
236,1503,3,72.0,1.0,4.0,6,1,0
237,1514,1,73.0,1.0,5.0,0,0,0
238,1525,5,195.0,7.0,12.0,3,0,1
239,1536,0,179.0,3.0,18.0,30,0,1
240,1547,6,135.0,7.0,22.0,42,0,1
241,1559,6,205.0,7.0,14.0,55,1,1
242,1570,0,63.0,0.0,2.0,0,0,0
243,1581,3,175.0,6.0,9.0,34,0,1
244,1592,5,36.0,1.0,4.0,7,0,0
245,1603,7,196.0,3.0,17.0,0,1,1
246,1614,7,75.0,0.0,1.0,9,0,0
247,1625,0,52.0,4.0,4.0,8,1,0
248,1636,2,99.0,1.0,4.0,4,0,0
249,1647,7,51.0,1.0,3.0,4,0,0
250,1658,7,168.0,5.0,14.0,2,1,1
251,1670,4,164.0,4.0,15.0,10,1,1
252,1681,5,140.0,0.0,1.0,9,1,0
253,1692,1,151.0,9.0,15.0,55,0,1
254,1703,5,156.0,4.0,12.0,17,0,1
255,1714,4,137.0,3.0,3.0,5,0,0
256,1725,4,41.0,1.0,4.0,6,0,0
257,1736,1,90.0,1.0,4.0,3,0,0
258,6972,3,180.0,1.0,22.0,42,0,1
259,1756,6,181.0,5.0,21.0,54,1,1
260,1767,3,146.0,3.0,24.0,13,1,1
261,1779,6,211.0,6.0,18.0,0,0,1
262,1790,3,132.0,7.0,13.0,6,1,1
263,1801,6,96.0,2.0,2.0,8,0,0
264,1812,1,93.0,2.0,1.0,3,0,0
265,1823,6,156.0,4.0,10.0,56,0,1
266,1834,4,90.0,0.0,2.0,4,0,0
267,1845,7,110.0,1.0,4.0,5,0,0
268,1856,7,100.0,2.0,3.0,1,0,0
269,1867,2,96.0,0.0,3.0,8,0,0
270,1878,4,142.0,3.0,19.0,57,1,1
271,1890,0,200.0,7.0,23.0,2,0,1
272,1901,2,64.0,1.0,0.0,3,0,0
273,1912,2,206.0,5.0,14.0,15,1,1
274,1923,2,89.0,2.0,2.0,3,0,0
275,1934,5,80.0,0.0,5.0,7,0,0
276,1945,5,113.0,0.0,3.0,8,1,0
277,1956,5,61.0,0.0,2.0,6,1,0
278,1967,0,48.0,2.0,2.0,7,0,0
279,1978,2,46.0,1.0,4.0,6,0,0
280,1989,5,81.0,1.0,4.0,5,0,0
281,2001,7,69.0,0.0,5.0,5,0,0
282,2012,7,126.0,3.0,4.0,5,0,0
283,2022,1,83.0,1.0,5.0,5,1,0
284,2033,0,67.0,0.0,1.0,4,1,0
285,2044,5,69.0,1.0,4.0,7,0,0
286,2055,2,139.0,2.0,13.0,42,0,1
287,2066,1,122.0,2.0,7.0,0,0,0
288,2077,1,172.0,5.0,20.0,58,0,1
289,2088,5,100.0,1.0,2.0,1,0,0
290,2099,1,154.0,5.0,11.0,2,0,1
291,2111,7,62.0,0.0,1.0,4,0,0
292,2122,6,167.0,3.0,22.0,41,0,1
293,2133,4,106.0,1.0,5.0,0,0,0
294,2144,4,168.0,6.0,14.0,21,0,1
295,2155,3,119.0,1.0,5.0,5,0,0
296,2166,2,64.0,0.0,3.0,3,0,0
297,2177,0,57.0,0.0,3.0,8,0,0
298,2188,6,67.0,2.0,2.0,5,0,0
299,2199,1,83.0,2.0,3.0,2,0,0
300,2210,3,87.0,1.0,2.0,4,0,0
301,2223,4,188.0,5.0,12.0,28,0,1
302,2234,0,194.0,6.0,14.0,35,1,1
303,2245,4,79.0,2.0,1.0,2,0,0
304,2256,1,88.0,1.0,5.0,1,0,0
305,2267,0,86.0,0.0,6.0,4,0,0
306,2278,5,217.0,4.0,12.0,20,1,1
307,2289,4,226.0,4.0,13.0,58,1,1
308,2300,4,207.0,6.0,24.0,37,0,1
309,2310,2,59.0,2.0,3.0,4,1,0
310,2321,5,198.0,4.0,14.0,21,0,1
311,2333,7,188.0,4.0,13.0,39,1,1
312,2344,6,40.0,4.0,4.0,2,0,0
313,2355,4,84.0,2.0,0.0,4,0,0
314,2366,2,78.0,2.0,0.0,9,0,0
315,2377,4,86.0,3.0,3.0,7,0,0
316,2388,5,106.0,2.0,5.0,1,0,0
317,2399,4,167.0,6.0,11.0,49,1,1
318,2410,7,183.0,1.0,18.0,42,0,1
319,2421,3,94.0,3.0,2.0,7,0,0
320,2432,4,86.0,1.0,3.0,6,0,0
321,2444,1,154.0,4.0,17.0,56,0,1
322,2455,3,217.0,2.0,8.0,49,0,1
323,2466,1,63.0,1.0,3.0,7,0,0
324,2477,1,79.0,1.0,2.0,6,0,0
325,2488,7,101.0,0.0,3.0,6,0,0
326,2499,4,117.0,0.0,1.0,7,0,0
327,2510,2,95.0,2.0,0.0,6,1,0
328,2521,0,129.0,6.0,19.0,34,1,1
329,2532,2,62.0,3.0,7.0,5,0,0
330,2543,7,222.0,7.0,13.0,31,1,1
331,2555,4,82.0,2.0,2.0,9,0,0
332,2566,6,58.0,2.0,1.0,0,0,0
333,2577,0,62.0,2.0,2.0,6,0,0
334,2588,0,173.0,11.0,17.0,14,1,1
335,2598,1,63.0,0.0,3.0,2,0,0
336,2609,0,80.0,0.0,5.0,7,0,0
337,2620,3,127.0,0.0,5.0,2,0,0
338,2631,6,201.0,2.0,22.0,16,1,1
339,2642,4,101.0,1.0,3.0,9,0,0
340,2653,7,142.0,4.0,14.0,17,1,1
341,2665,7,45.0,0.0,2.0,6,1,0
342,2676,7,74.0,1.0,8.0,2,0,0
343,2687,0,37.0,3.0,2.0,2,0,0
344,2698,1,41.0,1.0,4.0,3,0,0
345,2709,3,34.0,0.0,0.0,6,0,0
346,2720,4,214.0,6.0,9.0,54,0,1
347,2731,1,95.0,3.0,6.0,9,0,0
348,2742,6,91.0,1.0,1.0,8,0,0
349,2753,6,93.0,0.0,5.0,7,0,0
350,2764,2,46.0,1.0,4.0,7,1,0
351,2776,7,160.0,6.0,15.0,5,1,1
352,2787,7,24.0,0.0,3.0,2,0,0
353,2798,3,105.0,0.0,2.0,7,0,0
354,2809,4,113.0,0.0,1.0,5,0,0
355,2820,1,75.0,0.0,2.0,9,0,0
356,2831,1,163.0,9.0,16.0,9,0,1
357,2842,0,67.0,2.0,0.0,7,1,0
358,2853,1,113.0,1.0,4.0,3,0,0
359,2864,2,211.0,6.0,14.0,21,1,1
360,2874,0,85.0,1.0,3.0,8,0,0
361,2886,4,75.0,2.0,2.0,9,1,0
362,2897,2,103.0,1.0,0.0,2,0,0
363,2908,3,70.0,2.0,1.0,0,0,0
364,2919,3,167.0,7.0,15.0,7,1,1
365,2930,1,64.0,1.0,2.0,4,0,0
366,2941,4,81.0,0.0,1.0,4,0,0
367,2952,0,20.0,0.0,2.0,9,0,0
368,2963,2,70.0,2.0,2.0,1,0,0
369,2974,5,119.0,0.0,4.0,6,0,0
370,2985,5,58.0,2.0,2.0,6,0,0
371,2997,2,50.0,0.0,6.0,2,1,0
372,3008,5,202.0,6.0,14.0,10,0,1
373,3019,1,196.0,3.0,20.0,41,1,1
374,3030,0,161.0,1.0,10.0,9,1,1
375,3041,1,114.0,0.0,1.0,5,0,0
376,3052,5,197.0,4.0,10.0,9,0,1
377,3063,5,81.0,1.0,2.0,1,0,0
378,3074,0,173.0,4.0,16.0,57,0,1
379,3085,1,55.0,1.0,6.0,4,0,0
380,3096,3,105.0,1.0,4.0,0,1,0
381,3108,5,160.0,4.0,18.0,18,0,1
382,3119,1,87.0,4.0,4.0,7,0,0
383,3130,6,79.0,3.0,3.0,3,0,0
384,3141,7,86.0,0.0,2.0,3,0,0
385,3152,1,179.0,3.0,12.0,52,1,1
386,3162,2,107.0,0.0,3.0,8,0,0
387,3173,6,84.0,1.0,2.0,2,0,0
388,3184,4,57.0,0.0,6.0,3,0,0
389,3195,0,129.0,2.0,17.0,53,1,1
390,3206,6,200.0,6.0,13.0,28,0,1
391,3218,1,91.0,2.0,1.0,7,1,0
392,3229,7,55.0,2.0,4.0,0,0,0
393,3240,4,116.0,1.0,1.0,1,0,0
394,3251,0,125.0,1.0,0.0,1,1,0
395,3262,1,107.0,1.0,4.0,3,0,0
396,3273,1,65.0,0.0,2.0,5,0,0
397,3284,0,92.0,0.0,4.0,5,0,0
398,3295,7,194.0,3.0,21.0,11,1,1
399,3306,4,65.0,0.0,3.0,2,0,0
400,3317,5,101.0,3.0,2.0,1,0,0
401,3330,3,91.0,2.0,4.0,8,0,0
402,3341,4,207.0,7.0,10.0,28,0,1
403,3352,7,87.0,1.0,3.0,7,0,0
404,3363,1,20.0,3.0,1.0,8,1,0
405,3374,5,30.0,1.0,6.0,6,1,0
406,3385,1,65.0,1.0,2.0,8,0,0
407,3396,6,68.0,2.0,1.0,9,0,0
408,3407,0,216.0,3.0,11.0,1,0,1
409,3418,0,107.0,1.0,6.0,0,0,0
410,3429,5,163.0,7.0,20.0,25,1,1
411,3441,0,129.0,1.0,1.0,2,0,0
412,3451,7,68.0,0.0,6.0,6,0,0
413,3462,3,148.0,4.0,19.0,6,1,1
414,3473,5,61.0,0.0,6.0,4,1,0
415,3484,1,56.0,0.0,3.0,1,1,0
416,3495,1,94.0,1.0,5.0,0,1,0
417,3506,7,85.0,1.0,4.0,7,0,0
418,3517,7,102.0,1.0,2.0,6,0,0
419,3528,1,195.0,1.0,16.0,39,1,1
420,3539,5,221.0,1.0,20.0,19,1,1
421,3551,2,159.0,3.0,10.0,36,0,1
422,3562,0,196.0,6.0,13.0,54,0,1
423,3573,1,69.0,0.0,5.0,5,0,0
424,3584,2,76.0,1.0,7.0,2,1,0
425,3595,4,67.0,1.0,4.0,6,1,0
426,3606,2,175.0,7.0,10.0,2,0,1
427,3617,2,59.0,1.0,7.0,5,0,0
428,3628,1,177.0,2.0,15.0,43,0,1
429,3639,4,207.0,9.0,10.0,51,0,1
430,3650,3,115.0,1.0,4.0,8,0,0
431,3662,3,177.0,3.0,11.0,54,0,1
432,3673,5,83.0,0.0,2.0,8,0,0
433,3684,0,114.0,0.0,4.0,1,1,0
434,3695,6,70.0,1.0,2.0,2,0,0
435,3706,7,44.0,0.0,4.0,0,0,0
436,3717,7,169.0,4.0,16.0,40,1,1
437,3727,0,173.0,4.0,18.0,41,1,1
438,3738,1,170.0,3.0,19.0,6,1,1
439,3749,6,85.0,1.0,2.0,9,0,0
440,3760,4,180.0,2.0,13.0,23,0,1
441,3772,4,63.0,0.0,6.0,1,0,0
442,3783,1,77.0,0.0,2.0,7,0,0
443,3794,7,122.0,0.0,2.0,0,1,0
444,3805,1,75.0,0.0,8.0,1,0,0
445,3816,4,116.0,2.0,1.0,1,0,0
446,3827,4,80.0,1.0,5.0,4,0,0
447,3838,4,212.0,3.0,21.0,17,1,1
448,3849,0,165.0,10.0,16.0,26,1,1
449,3860,2,24.0,1.0,2.0,9,0,0
450,3871,0,22.0,1.0,1.0,7,0,0
451,3883,4,94.0,1.0,2.0,1,1,0
452,3894,3,69.0,2.0,3.0,4,0,0
453,3905,4,80.0,1.0,1.0,4,1,0
454,3916,3,75.0,1.0,3.0,0,1,0
455,3927,4,97.0,0.0,6.0,7,1,0
456,3938,5,94.0,0.0,4.0,3,0,0
457,3949,6,144.0,7.0,15.0,43,0,1
458,3960,7,85.0,2.0,1.0,9,1,0
459,3971,3,104.0,1.0,6.0,5,0,0
460,3982,1,91.0,0.0,3.0,2,0,0
461,3994,5,182.0,5.0,17.0,16,0,1
462,4005,2,176.0,7.0,9.0,9,1,1
463,4015,5,87.0,1.0,2.0,3,0,0
464,4026,7,32.0,0.0,2.0,8,0,0
465,4037,7,28.0,1.0,2.0,5,0,0
466,4048,4,188.0,3.0,12.0,37,0,1
467,4059,4,94.0,0.0,3.0,7,0,0
468,4070,4,74.0,0.0,5.0,9,0,0
469,4081,2,55.0,0.0,1.0,6,0,0
470,4092,2,184.0,2.0,14.0,53,1,1
471,4104,6,102.0,0.0,5.0,8,0,0
472,4115,5,86.0,1.0,4.0,7,0,0
473,4126,0,53.0,1.0,6.0,6,1,0
474,4137,4,62.0,0.0,7.0,1,1,0
475,4148,1,55.0,0.0,2.0,3,0,0
476,4159,4,121.0,0.0,2.0,6,0,0
477,4170,5,95.0,1.0,0.0,8,0,0
478,4181,6,62.0,0.0,0.0,8,0,0
479,4192,3,208.0,7.0,13.0,7,1,1
480,4203,6,170.0,2.0,14.0,9,0,1
481,4215,1,213.0,7.0,13.0,3,0,1
482,4226,0,102.0,0.0,3.0,0,0,0
483,4237,7,64.0,2.0,4.0,6,0,0
484,4248,3,176.0,5.0,20.0,25,0,1
485,4259,1,176.0,6.0,8.0,55,1,1
486,4270,2,207.0,2.0,19.0,20,0,1
487,4281,7,69.0,0.0,1.0,3,1,0
488,4292,1,99.0,0.0,1.0,1,0,0
489,4302,0,146.0,5.0,18.0,20,1,1
490,4313,0,78.0,0.0,0.0,3,0,0
491,4325,1,76.0,1.0,7.0,3,0,0
492,4336,4,203.0,8.0,14.0,44,0,1
493,4347,5,65.0,0.0,5.0,1,1,0
494,4358,1,73.0,1.0,2.0,1,0,0
495,4369,6,88.0,1.0,4.0,8,0,0
496,4380,2,34.0,0.0,2.0,7,1,0
497,4391,5,84.0,1.0,3.0,6,0,0
498,4402,0,27.0,3.0,5.0,5,0,0
499,4413,6,63.0,1.0,5.0,5,0,0
500,4424,1,89.0,0.0,2.0,6,0,0
501,4437,6,54.0,0.0,5.0,8,0,0
502,4448,3,65.0,0.0,1.0,5,1,0
503,4459,6,120.0,1.0,3.0,0,0,0
504,4470,6,57.0,0.0,2.0,4,0,0
505,4481,6,51.0,2.0,3.0,7,0,0
506,4492,6,180.0,5.0,17.0,51,0,1
507,4503,7,75.0,0.0,5.0,8,0,0
508,4514,4,107.0,1.0,4.0,6,0,0
509,4525,7,68.0,0.0,3.0,3,0,0
510,4536,7,123.0,1.0,4.0,1,1,0
511,4548,3,66.0,2.0,3.0,4,0,0
512,4559,3,78.0,1.0,3.0,2,0,0
513,4570,6,49.0,2.0,4.0,6,0,0
514,4581,3,101.0,1.0,3.0,8,1,0
515,6972,4,174.0,6.0,14.0,1,0,1
516,4601,7,148.0,7.0,13.0,43,0,1
517,4612,2,177.0,11.0,13.0,4,0,1
518,4623,1,108.0,0.0,5.0,5,0,0
519,4634,5,53.0,1.0,3.0,5,1,0
520,4645,1,95.0,3.0,15.0,25,1,1
521,4657,3,173.0,5.0,15.0,26,0,1
522,4668,1,87.0,2.0,3.0,9,0,0
523,4679,3,51.0,0.0,6.0,4,0,0
524,4690,0,191.0,1.0,14.0,44,0,1
525,4701,2,58.0,0.0,3.0,2,1,0
526,4712,1,93.0,0.0,4.0,0,0,0
527,4723,2,25.0,1.0,3.0,2,0,0
528,4734,7,150.0,4.0,15.0,31,1,1
529,4745,7,65.0,0.0,1.0,9,0,0
530,4756,5,56.0,1.0,3.0,3,1,0
531,4768,4,92.0,2.0,1.0,4,0,0
532,4779,0,131.0,0.0,2.0,0,1,0
533,4790,2,98.0,0.0,5.0,2,0,0
534,4801,0,64.0,3.0,4.0,1,0,0
535,4812,6,116.0,0.0,4.0,5,0,0
536,4823,5,144.0,8.0,19.0,30,0,1
537,4834,0,84.0,0.0,2.0,8,0,0
538,4845,2,223.0,6.0,7.0,43,1,1
539,4856,0,75.0,0.0,5.0,5,0,0
540,4866,4,131.0,9.0,10.0,45,1,1
541,4878,7,29.0,0.0,5.0,7,0,0
542,4889,2,163.0,6.0,20.0,15,1,1
543,4900,2,63.0,2.0,4.0,1,0,0
544,4911,0,161.0,4.0,18.0,16,0,1
545,4922,5,73.0,2.0,2.0,1,1,0
546,4933,3,95.0,0.0,1.0,3,0,0
547,4944,2,163.0,5.0,11.0,10,0,1
548,4955,5,121.0,1.0,1.0,8,0,0
549,4966,3,102.0,0.0,2.0,9,1,0
550,4977,4,108.0,0.0,4.0,7,0,0
551,4989,2,92.0,0.0,4.0,4,1,0
552,5000,7,111.0,1.0,2.0,9,1,0
553,5011,6,164.0,5.0,15.0,29,0,1
554,5022,5,194.0,4.0,21.0,37,1,1
555,5033,2,61.0,0.0,4.0,8,1,0
556,5044,6,96.0,0.0,6.0,5,1,0
557,5055,3,105.0,0.0,1.0,8,0,0
558,5066,3,93.0,0.0,3.0,1,0,0
559,5077,4,56.0,2.0,1.0,6,0,0
